imdbID,genres
13424422,Animation
13424422,Action
13424422,Adventure
10332588,Action
10332588,Adventure
10332588,Comedy
6571548,Crime
6571548,Drama
6432466,Comedy
6432466,Drama
6432466,Music
11314148,Romance
12877640,Drama
12877640,Horror
12877640,Mystery
5624466,Horror
5624466,Thriller
10738536,Comedy
10738536,Drama
10738536,History
11165716,Comedy
11165716,Drama
11165716,Sport
995854,Drama
10037014,Drama
10037014,Horror
10037014,Thriller
7646322,Horror
7646322,Thriller
10957044,Action
10957044,Thriller
7897330,Drama
7897330,Thriller
9154818,Drama
8482584,History
8482584,Sport
9741180,Drama
9741180,Horror
9741180,Thriller
4136456,Action
4136456,Thriller
1697800,Action
1697800,Comedy
1697800,Crime
10738906,Drama
10738906,Horror
10738906,Mystery
10761694,Action
10761694,Drama
10761694,Romance
13507778,Biography
13507778,Crime
13507778,Drama
7541720,Drama
7541720,Musical
10187208,Adventure
10187208,Drama
10187208,Family
10360104,Crime
10360104,Thriller
13382698,Action
13382698,Mystery
13382698,Thriller
10300570,Comedy
10300570,Drama
12861508,Action
12861508,Thriller
9598214,Comedy
9598214,Crime
9598214,Drama
6704894,Biography
6704894,Drama
6704894,History
12870980,Drama
12870980,Mystery
12870980,Thriller
14324650,Animation
14324650,Action
14324650,Crime
13316722,Action
13316722,Sci-Fi
13316722,Thriller
9701942,Horror
9701942,Mystery
11847606,Comedy
11847606,Family
11847606,Music
15132736,Horror
14168118,Crime
14168118,Drama
14547524,Drama
14547524,Sport
15119668,Drama
13363828,Horror
13363828,Mystery
15005868,Animation
15005868,Comedy
14867006,Horror
14867006,Mystery
14867006,Thriller
6852526,Drama
12808182,Action
12808182,Adventure
12808182,Comedy
8521718,Biography
8521718,Drama
8521718,Music
14452368,Drama
7737640,Comedy
7737640,Crime
7737640,Drama
8635092,Biography
8635092,Comedy
8635092,Drama
15850662,Drama
15850662,Horror
15850662,Mystery
11087960,Drama
3986420,Drama
3986420,Romance
3986420,Thriller
11084896,Animation
11084896,Adventure
11084896,Comedy
8689290,Drama
8689290,Horror
8689290,Mystery
7975192,Horror
7975192,Thriller
13392012,Drama
13392012,Horror
13392012,Sci-Fi
11186952,Horror
11186952,Mystery
11186952,Thriller
14757296,Fantasy
14757296,Romance
